stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
NVDA,3.1739959716796875,945,[3.37734604],[192.16581345],2019-01-04,2019-01-05
UNH,218.93927001953125,14,[223.73622131],[67.15731812],2019-01-06,2019-01-11
ABBV,59.086082458496094,55,[61.49885178],[132.70231247],2019-01-29,2019-02-01
MCD,153.6929931640625,22,[153.22337341],[-10.33163452],2019-02-02,2019-02-07
GS,165.87158203125,20,[172.0874939],[124.3182373],2019-02-12,2019-02-16
KO,37.55464172363281,93,[38.06931686],[47.86478806],2019-02-17,2019-02-22
UNH,241.7633819580078,14,[228.49655151],[-185.73562622],2019-02-26,2019-02-28
UNH,221.31491088867188,15,[220.59309387],[-10.82725525],2019-03-01,2019-03-06
CRM,155.9191131591797,21,[156.77435303],[17.96003723],2019-03-07,2019-03-12
BA,366.6173095703125,9,[370.11346436],[31.46539307],2019-03-13,2019-03-18
META,159.85935974121094,21,[164.81045532],[103.9730072],2019-03-19,2019-03-21
BA,363.97076416015625,9,[361.70510864],[-20.39089966],2019-03-22,2019-03-27
KO,38.996185302734375,89,[38.9124527],[-7.45220184],2019-04-03,2019-04-08
BA,360.39654541015625,9,[370.74822998],[93.16516113],2019-04-10,2019-04-15
UNH,211.1351318359375,16,[202.66038513],[-135.59594727],2019-04-16,2019-04-17
MRK,59.316795349121094,58,[58.94768524],[-21.40838623],2019-04-18,2019-04-23
WBA,39.46696472167969,86,[39.19258499],[-23.5966568],2019-04-24,2019-04-29
MMM,126.56934356689453,26,[123.24891663],[-86.33110046],2019-04-30,2019-05-05
NKE,80.26814270019531,41,[77.30844879],[-121.34745026],2019-05-06,2019-05-08
MMM,118.8371810913086,26,[115.8294754],[-78.2003479],2019-05-09,2019-05-14
BA,336.93011474609375,9,[347.50827026],[95.20339966],2019-05-15,2019-05-17
CAT,108.61471557617188,29,[108.03457642],[-16.82403564],2019-05-23,2019-05-28
GS,164.89625549316406,19,[159.56260681],[-101.33932495],2019-05-29,2019-06-01
BA,335.52557373046875,9,[344.39477539],[79.82281494],2019-06-02,2019-06-07
CRM,149.75355529785156,21,[156.32684326],[138.03904724],2019-06-19,2019-06-21
WBA,39.22468566894531,84,[39.17234039],[-4.39700317],2019-06-22,2019-06-27
GOOGL,53.637062072753906,61,[55.4290657],[109.31222153],2019-06-28,2019-07-03
MMM,111.20333862304688,30,[116.33061981],[153.81843567],2019-07-11,2019-07-13
JNJ,115.589599609375,30,[111.8141098],[-113.26469421],2019-07-16,2019-07-20
HON,154.44161987304688,22,[155.13803101],[15.32104492],2019-07-21,2019-07-26
BA,338.85516357421875,10,[335.10321045],[-37.51953125],2019-07-27,2019-08-01
BA,328.3359375,10,[326.52874756],[-18.07189941],2019-08-02,2019-08-07
PFE,26.268081665039062,129,[25.85765266],[-52.94534111],2019-08-14,2019-08-19
CSCO,40.43049240112305,83,[39.31702423],[-92.41785812],2019-08-21,2019-08-26
UNH,212.8808135986328,15,[205.37266541],[-112.6222229],2019-08-27,2019-08-28
BA,356.0909118652344,8,[365.17355347],[72.66113281],2019-09-06,2019-09-11
MA,261.80194091796875,12,[265.80715942],[48.06262207],2019-09-12,2019-09-17
HD,200.94056701660156,16,[198.55348206],[-38.19335938],2019-09-20,2019-09-25
UNH,205.63771057128906,15,[199.44551086],[-92.88299561],2019-09-26,2019-09-27
UNH,199.2418975830078,15,[200.62106323],[20.68748474],2019-09-28,2019-10-03
MMM,103.97193908691406,30,[107.07374573],[93.05419922],2019-10-08,2019-10-13
PG,102.46341705322266,31,[107.3392868],[151.15196228],2019-10-18,2019-10-23
BA,336.522216796875,10,[336.89776611],[3.75549316],2019-10-24,2019-10-29
NKE,84.07064056396484,40,[83.97648621],[-3.76617432],2019-10-30,2019-11-04
PFE,28.379980087280273,120,[27.91586494],[-55.69381714],2019-11-05,2019-11-10
NKE,84.27780151367188,39,[87.6112442],[130.00426483],2019-11-13,2019-11-16
HD,194.580810546875,17,[192.37869263],[-37.43600464],2019-11-21,2019-11-26
WMT,36.56291198730469,94,[36.72299957],[15.04823303],2019-11-28,2019-12-03
BA,349.99761962890625,9,[351.99572754],[17.98297119],2019-12-04,2019-12-09
BA,339.6492004394531,10,[325.06594849],[-145.83251953],2019-12-14,2019-12-17
BA,325.0659484863281,10,[326.06002808],[9.9407959],2019-12-18,2019-12-23
WMT,36.81041717529297,90,[36.98358917],[15.58547974],2019-12-24,2019-12-29
