stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
GS,330.3631591796875,9,[346.18624878],[142.4078064],2023-01-19,2023-02-01
GS,341.7478332519531,9,[330.00271606],[-105.70605469],2023-02-22,2023-03-02
GS,332.7381591796875,9,[312.31259155],[-183.83010864],2023-03-03,2023-03-11
GS,312.3126220703125,9,[300.72250366],[-104.31106567],2023-03-12,2023-03-14
GS,307.05126953125,8,[297.55813599],[-75.94506836],2023-03-15,2023-03-16
GS,300.32220458984375,8,[289.3135376],[-88.06933594],2023-03-17,2023-03-18
GS,289.31353759765625,8,[302.40951538],[104.76782227],2023-03-19,2023-03-22
GS,313.2466735839844,8,[304.82095337],[-67.40576172],2023-05-04,2023-05-25
GS,312.193603515625,8,[302.243927],[-79.59741211],2023-06-22,2023-06-24
GS,302.24395751953125,8,[315.6605835],[107.33300781],2023-06-25,2023-07-14
GS,329.11566162109375,8,[319.05078125],[-80.51904297],2023-08-10,2023-08-16
GS,316.07354736328125,8,[306.16238403],[-79.28930664],2023-08-17,2023-08-23
GS,307.2860107421875,8,[320.4425354],[105.25219727],2023-08-25,2023-09-13
GS,319.80340576171875,8,[308.43441772],[-90.9519043],2023-09-22,2023-10-03
GS,296.4456481933594,8,[289.72497559],[-53.76538086],2023-10-04,2023-10-25
GS,280.7479553222656,8,[294.01498413],[106.13623047],2023-10-28,2023-11-01
