stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
UNH,489.35552978515625,6,[471.41091919],[-107.66766357],2023-01-05,2023-01-11
UNH,478.5887451171875,6,[461.94384766],[-99.86938477],2023-01-12,2023-01-19
HON,192.22023010253906,14,[200.54473877],[116.54312134],2023-01-20,2023-01-27
UNH,457.8505859375,6,[479.41326904],[129.37609863],2023-02-04,2023-02-11
MSFT,249.21298217773438,12,[257.22189331],[96.10693359],2023-02-22,2023-03-15
GS,297.5581359863281,10,[311.77883911],[142.20703125],2023-03-16,2023-04-01
CAT,201.9599151611328,16,[212.99591064],[176.57592773],2023-04-07,2023-04-12
UNH,473.28460693359375,7,[477.05181885],[26.3704834],2023-04-20,2023-05-11
NKE,105.88180541992188,32,[102.45558929],[-109.63891602],2023-05-24,2023-06-01
UNH,455.3758239746094,7,[458.76745605],[23.74142456],2023-06-16,2023-07-07
UNH,451.1630554199219,7,[469.33355713],[127.19351196],2023-07-08,2023-07-15
UNH,469.33355712890625,7,[473.15530396],[26.75222778],2023-07-16,2023-07-18
AXP,163.4723663330078,21,[158.96583557],[-94.637146],2023-07-26,2023-08-16
GS,316.07354736328125,10,[306.16241455],[-99.11132812],2023-08-17,2023-08-23
UNH,477.0846252441406,7,[474.52624512],[-17.90866089],2023-08-25,2023-09-15
HD,301.404052734375,11,[290.70959473],[-117.63903809],2023-09-21,2023-10-03
MCD,246.9888153076172,13,[238.93347168],[-104.71946716],2023-10-04,2023-10-13
GS,289.73468017578125,10,[280.74795532],[-89.86724854],2023-10-20,2023-10-28
CAT,233.9365692138672,12,[221.66902161],[-147.21057129],2023-10-29,2023-11-01
CVX,136.60147094726562,21,[138.368927],[37.11657715],2023-11-02,2023-11-23
